.android	tool-cache
.appium	tool-cache
.cache	cache
.claude	session-data
.claude-flow	runtime
.config	user-config-may-contain-secrets
.copilot	session-data
.docker	cache
.env.nova	secret
.gemini	session-data
.git-credentials	secret
.local	cache
.melissa	runtime-state
.n8n	runtime-state-and-secrets
.npm	cache
.npm-global	global-packages
.ollama	model-cache
.openclaw	runtime-state
.pki	certificates
.playwright-cli	cache
.pm2	runtime-state
.pytest_cache	cache
.ssh	secret
.swarm	runtime-state
android-sdk	tool-cache
backups-test	backup
data	runtime-state
data-test	test-runtime-state
go	tool-cache
logs-test	test-runtime-state
main.py.tmp	temp-file
melissa-backups	backup
node_modules	dependency-cache
omni-core	git-root
opencode_env	venv
output	build-output
tmp	temp-file
vectors.db	database
nova.db	database
data.db	database
